,driver_id,vehicle_model
42,0986063565fdf2d57a9192f9343f15b9ab36c82d14a648b20e7ebc110126ea56,1
43,0a41463df6923a6ad52deeec94c0eb801999b763fad29853abd9768e8df8586c,1
44,0a634e8dce250e8c7034e63218f1aa978117abe8a00ce278f7ec76ebe57c6154,1
45,0a7b6128965d4619d915e4fa016b9596406f67d5e8e6dc8b7b56c19571f2ba2c,1
46,0b4d7ccc4a9f3cac9401f3e2785e78e9563ae4c6f141b0a1b84589399b089d0f,2
47,0b740e333ed077d968774bcdc56c5f19f3b0dce02fbb8ad7c3659ced4bd037c5,1
48,0c05f81ab108e8be4530dd97600e06d02410c472abb11be8de7353553dd901a3,43
49,0c49468f854e20a591f566e2bd39700725de0d288a564ac7be82eba1b85b75b9,4
50,0c4f2da2232996d29378a49646f58ae5e7a16f0f5257913b2b4b15233f9b0dd1,1
51,0c81de6f71e76e79f20b43c4fb71444c49daa2b1aa1a669dc2bc1acbb547d329,2
52,0c8b3272201a74127376ecd56a2cc0b8e544b732c77f2b041938a349029146e1,1
53,0cd517eec7a7988635f226eea60408bf9eb078f8b34d3180f75a6499bb88ba1a,2
54,0d2bd0fe533615a1d721844048825119c19ca502225e44325d3915a8f37d0530,1
55,0dd61660cc61b2f9c480ef7f9aa5bdc9a5fdaf15a23b78e52817b9727b31b764,1
56,0e2f61fb0eeb494034a4d7bc11c249e77e9db0034993cb4cbf9fab99171b9fb3,1
57,0e62c763ecdfe45b64768543f746b2a218df4635d3743280d20deab546d029ee,2
58,0e8b0385c45895cceccee235b4d80c67dde86746ab1619ee757666f2c2a24325,2
59,0e904c24009b4406c0b7e64317f6e6431588d5f823cffed8dc8d09905ccd6441,1
60,0ed01d629ac011ab0f22c60958e3a08c4fc86dbdd982b5a177f109e6e34e3bb7,1
61,0f3c75cc799f636d7c4b858b856ecc5abd2a04fec49024e85e5f23741a74e180,2
62,0ffe6fa805ff889260ff6a6e08988aaef18a5ace590bc689edac3af9cde07ad8,2
63,1044aa67ebb6748c198cb87c2e0e467e2701c7296dc8d5a49892ba730ed6b879,1
64,105b1d1853beed43cae5dfcea80d162fae4596e09da9b8679e58f34cee13ca46,1
65,10768682d2911c0a79d67e93d9639d18eb6223c101ec2a65786318b0941cdc01,1
66,1086d35563c495c1cecbce12135cab3b945e01dd185ea2c1dc8ace5ad988977e,1
67,10e279b2959a06235bde9c8a3e2aabcf2ff2edd355ff1d8534b3dbe03cdaae64,2
68,10e4e7caf8b078429bb1c80b1a10118ac6f963eff098fd25a66c78862ae5ebce,1
69,1111bfb2bea0162298fcf4fa4e2e1a77866dd90853f80055c9a19ded8d52bbb6,4
70,1115fd804c8295496031826e0c1b061d9155b0d4ca002ba167221074ad132f34,4
71,113ae58b13a2d0428bf5698f3d2305dbd668b6603bf2668522e6b3524d8c3ae3,1
72,1198ffcbf2aa641d204ce5d0790d54e416295633c684f37d7fa4e5bffe207b15,3
73,119ebf7b0320e856917dad39c0107729d53e052e42621f8091150a9d76433754,43
74,11a2285ba912de4dfb8808997deb6123acb96f52553ee245d87d8789e96a18ea,4
75,120d3f12357857952b43ca472ce3db4a551ef606e269ac83b47070dac84b4fcf,1
76,1218504cc2ff236903cec75d272df8f778840da6f960e32e046b7b6f334524d0,1
77,121d5563a710e447081edee9f002892ee264492d49294426bc399ab5e6be4d6e,1
78,124067c79515ce490bb2372af999c91d73756b7c233f405c49e9376675ad35cd,43
79,1318a730b18772108f783d60f9a1da27a2c4b0282ddc23e593bb1677d15e34f9,1
