,driver_id,trip_count,total_trip_duration,total_trip_distance,number of days
17641,dc00d177ac12de602c544198fcbc0f4ee509d3f80dc5b6402427b2374d06cde4,11,37288.0,67.03999999999996,7
17642,dc0294e30938638484270342cd029d17217e934c605ce628b241d5e4472043e5,8,20337.0,59.32999999999995,2
17643,dc029f37f6608a9715994f483bd491a66d6a5272963ecb933112c6d01f50da40,62,187848.0,582.9699999999997,13
17644,dc02e4ab7d4deb13babf1bdeb21f4cb9a65e8fd393ed6ab4a182c4ee800fb662,8,11512.0,22.879999999999992,3
17645,dc06d838cc7604315c522ec07bd372127bb40e4caff0e89a3e6cf5bf89c38b0f,33,107666.0,189.6499999999999,12
17646,dc07d2ceebb2fa24fef9af9e8ec417a3df8b81876268c37ba48f2a45fceba10f,30,19888.0,37.85,7
17647,dc0844b69abf9604b8ce5aca24eeec3291cd29fb2fb9bceee5f00580bd14dbdd,64,45529.0,127.3,10
17648,dc0953e63ca0b7755782928d294d28147ea97454b6cfd96c988a73ce8ecb52d9,6,7524.0,30.610000000000007,3
17649,dc163b31d2673e536773099a26076e075bd522a171ad313d05d7ed73afa9eec4,60,66388.0,175.70999999999992,13
17650,dc1721d4c91807e493a1c68dc31e3e1b33c6aca0cfacad6f599823b6fd712c36,14,14176.0,37.08999999999999,4
17651,dc1744739cfe30fcc3eeec11db1b68a29b9129ba24a736e36d2048f1b57400bb,75,86431.0,203.26999999999995,17
17652,dc1934b1851fb555c85ddccc0e836789cb9598a699c122a43316fc4893529cb8,3,5842.0,2.19,2
17653,dc19bf694568c2bcc67cc13507080863b7d6257c313f4ce586c86f74842b4ec0,38,48051.0,188.3899999999999,8
17654,dc226b94ce14a19a5ce49d9f88c4645b94694b1544b09c7df5cd26154f3a376d,33,114616.0,286.9499999999999,7
17655,dc26e3a728732c08f98dedbc864f64fbd8c832ecc6cfebe580a23bdab87d876f,7,11733.0,21.259999999999984,3
17656,dc289535c6bad7d4237d3d5f2c82d055228df52ca557648c6e100fd5471d3167,14,89175.0,108.80999999999999,6
17657,dc29633a89a71b0fc720f6f21213faa48cff682a95fcc212ae5369d0725662ff,3,5508.0,20.01999999999999,1
17658,dc2972506fa2db632fd8fc45b279f42091831166fd2b86c70303dae498a9162e,34,103286.0,181.45999999999984,10
17659,dc2abb4ea31f386fcc1052a6781da3864009022b671822b9279dbe991c5afd21,169,138181.0,415.5799999999999,15
17660,dc2afdc9bdec61080cc69e910565241f78624159b439d524cd4901e9a444e4a3,1,19736.0,19.189999999999984,1
17661,dc2c1f27a7cf04a5218eee46e74eaeb3d8ea2bdc0ee75d387159f8144ac671bc,11,41819.0,25.12999999999999,6
17662,dc2d83442fb94dd1fd083cbe4e165ea0ed00ed3a6af77453945028e0a7a66d7f,24,92240.0,286.83999999999986,8
17663,dc34dac6e5f42818056b4d1c6d565b6d4af84083641c227c4f6a7ff4a6958376,6,14223.0,63.83999999999999,2
17664,dc375aa83138ed5d1e3324c6d434a1f45d8b72f9f8a9a4930b1ef13e7950b031,15,35167.0,70.25999999999999,8
17665,dc381df606c65a48bd6882bd0e947f56193599340898bd50af823305348851ea,15,19344.0,34.12,5
17666,dc3d55b0410cbeb2e92d3cf962a2824b0e18aa851b42fe490cb09df90c68794a,8,6940.0,17.000000000000004,2
17667,dc40698058c0dc42e15b7fdb861468a19f968e0ea6770b8c7543dcb5eb9ddc84,16,10698.0,20.73,4
17668,dc42da17268b6670710ff1e213679397644ac3888ce8b1b528c1949744435d54,37,31667.0,123.62999999999994,5
17669,dc45129634d89fb7e19897e721c48ea439e7204d40aba4b7530d62e794343a44,51,36582.0,92.68,7
17670,dc46ec1663506e5095724cffb3fa4b373b60d7b3f85786493b444bafa625cf51,11,17909.0,53.51999999999997,2
17671,dc4d605eb733a0860ad1a5ac304f9978ad2f93b57e9c056a28de0eccd53cee20,16,31919.0,71.26999999999997,6
17672,dc5145c05c4f7fee50e7c49e447aba2cc8c7c94ea85142cdd96c93f559c48b34,13,24923.0,77.93999999999997,4
17673,dc55f7cfd39dd0d3fc79512416ee1b9757fef0289a7ebb539b1d28259d8df499,8,19616.0,93.12999999999998,6
17674,dc5904290cc9e40060fa6fc14bcdb23ad7a44d29a9f69ad44fa8d94d973370f6,6,22028.0,51.869999999999955,4
17675,dc5d7f77995650fd571b342731d744226dd8218907e15e02601ab3e26e475df7,16,28422.0,86.35999999999994,7
